adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;100000;2.09;0.22;0.22;0.0293;0.1087;0.0004;0.000121
adaptiv;100000;2.09;0.22;10000;0.0306;0.1213;0.0005;0.00041
