adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;100000;2.09;0.22;0.22;0.0218;0.1091;0.0002;0.003506
adaptiv;100000;2.09;0.22;10000;0.0225;0.1028;0.0002;0.003537
