adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;100000;2.09;0.22;0.22;0.0234;0.1059;0.0003;0.000829
adaptiv;100000;2.09;0.22;10000;0.0236;0.1093;0.0002;0.00067
