adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;100000;2.09;0.22;0.22;0.0278;0.1094;0.0004;0.007331
adaptiv;100000;2.09;0.22;10000;0.0287;0.1144;0.0004;0.007393
