adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;100000;2.09;0.22;0.22;0.019;0.1059;0.0002;0.001636
adaptiv;100000;2.09;0.22;10000;0.0196;0.0971;0.0002;0.001541
