adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;100000;2.09;0.22;0.22;0.0248;0.1076;0.0003;0.003918
adaptiv;100000;2.09;0.22;10000;0.0256;0.1176;0.0004;0.004384
