adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;100000;2.09;0.22;0.22;0.0213;0.1112;0.0002;0.005516
adaptiv;100000;2.09;0.22;10000;0.0226;0.0998;0.0002;0.005664
