adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;100000;2.09;0.22;0.22;0.018;0.1065;0.0002;0.003145
adaptiv;100000;2.09;0.22;10000;0.0193;0.1269;0.0003;0.003541
