adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;10000;2.08;0.35;0.0081;0.0059;0.065942;0.0043;0.0014;0.031995
adaptiv;10000;2.08;0.35;0.0247;0.0538;0.181822;0.0085;0.0086;0.068788
nicht-adaptiv;10000;2.08;0.35;0.0091;0.0155;0.076175;0.0041;0.0018;0.031909
adaptiv;10000;2.08;0.35;0.0233;0.0449;0.178817;0.009;0.0109;0.074203
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0059;0.066298;0.0028;0.0012;0.025217
adaptiv;10000;2.09;0.35;0.0195;0.0743;0.158252;0.0083;0.01;0.067703
nicht-adaptiv;10000;2.06;0.35;0.0088;0.0061;0.071699;0.0041;0.001;0.031898
adaptiv;10000;2.06;0.35;0.022;0.0464;0.15943;0.01;0.0126;0.078602
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0057;0.064647;0.004;0.0012;0.033263
adaptiv;10000;2.09;0.35;0.0243;-0.0132;0.167021;0.0092;0.0115;0.073431
nicht-adaptiv;10000;2.08;0.35;0.0074;0.0059;0.062475;0.0035;0.0014;0.032578
adaptiv;10000;2.08;0.35;0.027;-0.0261;0.186693;0.0075;0.0092;0.061964
nicht-adaptiv;10000;2.07;0.35;0.0077;0.0061;0.06491;0.003;0.001;0.02723
adaptiv;10000;2.07;0.35;0.0221;0.031;0.156167;0.0084;0.0116;0.065328
nicht-adaptiv;10000;2.09;0.35;0.0071;0.0056;0.060345;0.0023;0.0008;0.020146
adaptiv;10000;2.09;0.35;0.0241;0.0443;0.170778;0.0085;0.0102;0.069972
nicht-adaptiv;10000;2.09;0.35;0.0081;0.01;0.070997;0.0031;0.0013;0.028517
adaptiv;10000;2.09;0.35;0.0241;0.0246;0.174831;0.009;0.0106;0.070141
nicht-adaptiv;10000;2.08;0.35;0.0077;0.0065;0.066163;0.0035;0.0015;0.02864
adaptiv;10000;2.08;0.35;0.0218;0.0388;0.159567;0.0073;0.0091;0.057987
