adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;10000;2.08;0.35;0.0081;0.0059;0.065942;0.0043;0.0014;0.031995
adaptiv;10000;2.08;0.35;0.0152;0.0426;0.142383;0.0053;0.0026;0.038746
nicht-adaptiv;10000;2.08;0.35;0.0091;0.0155;0.076175;0.0041;0.0018;0.031909
adaptiv;10000;2.08;0.35;0.0156;0.0642;0.162605;0.005;0.0029;0.039055
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0059;0.066298;0.0028;0.0012;0.025217
adaptiv;10000;2.09;0.35;0.0146;0.047;0.140424;0.0036;0.0029;0.031549
nicht-adaptiv;10000;2.06;0.35;0.0088;0.0061;0.071699;0.0041;0.001;0.031898
adaptiv;10000;2.06;0.35;0.0156;0.0438;0.146291;0.0056;0.003;0.041697
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0057;0.064647;0.004;0.0012;0.033263
adaptiv;10000;2.09;0.35;0.015;0.0363;0.138548;0.0045;0.0024;0.036655
nicht-adaptiv;10000;2.08;0.35;0.0074;0.0059;0.062475;0.0035;0.0014;0.032578
adaptiv;10000;2.08;0.35;0.0145;0.039;0.137339;0.0035;0.0021;0.030834
nicht-adaptiv;10000;2.07;0.35;0.0077;0.0061;0.06491;0.003;0.001;0.02723
adaptiv;10000;2.07;0.35;0.0142;0.0347;0.135535;0.0031;0.0024;0.028235
nicht-adaptiv;10000;2.09;0.35;0.0071;0.0056;0.060345;0.0023;0.0008;0.020146
adaptiv;10000;2.09;0.35;0.015;0.0523;0.144917;0.0028;0.0017;0.024723
nicht-adaptiv;10000;2.09;0.35;0.0081;0.01;0.070997;0.0031;0.0013;0.028517
adaptiv;10000;2.09;0.35;0.015;0.0482;0.145863;0.0037;0.0024;0.03324
nicht-adaptiv;10000;2.08;0.35;0.0077;0.0065;0.066163;0.0035;0.0015;0.02864
adaptiv;10000;2.08;0.35;0.0147;0.0445;0.144447;0.0043;0.0025;0.030847
