adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;10000;2.08;0.35;0.0081;0.0059;0.065942;0.0043;0.0014;0.031995
adaptiv;10000;2.08;0.35;0.0125;0.0231;0.118339;0.0041;0.0012;0.031833
nicht-adaptiv;10000;2.08;0.35;0.0091;0.0155;0.076175;0.0041;0.0018;0.031909
adaptiv;10000;2.08;0.35;0.0122;0.0378;0.126385;0.004;0.0019;0.032729
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0059;0.066298;0.0028;0.0012;0.025217
adaptiv;10000;2.09;0.35;0.0123;0.0298;0.119283;0.0029;0.0013;0.027475
nicht-adaptiv;10000;2.06;0.35;0.0088;0.0061;0.071699;0.0041;0.001;0.031898
adaptiv;10000;2.06;0.35;0.0121;0.0162;0.117922;0.0035;0.0009;0.02956
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0057;0.064647;0.004;0.0012;0.033263
adaptiv;10000;2.09;0.35;0.0129;0.0207;0.119411;0.0043;0.0015;0.035264
nicht-adaptiv;10000;2.08;0.35;0.0074;0.0059;0.062475;0.0035;0.0014;0.032578
adaptiv;10000;2.08;0.35;0.0113;0.0199;0.10818;0.0039;0.0015;0.036945
nicht-adaptiv;10000;2.07;0.35;0.0077;0.0061;0.06491;0.003;0.001;0.02723
adaptiv;10000;2.07;0.35;0.0111;0.0144;0.106074;0.0034;0.0011;0.031193
nicht-adaptiv;10000;2.09;0.35;0.0071;0.0056;0.060345;0.0023;0.0008;0.020146
adaptiv;10000;2.09;0.35;0.0116;0.027;0.113893;0.0025;0.0008;0.022816
nicht-adaptiv;10000;2.09;0.35;0.0081;0.01;0.070997;0.0031;0.0013;0.028517
adaptiv;10000;2.09;0.35;0.0118;0.0289;0.116391;0.0031;0.0013;0.029179
nicht-adaptiv;10000;2.08;0.35;0.0077;0.0065;0.066163;0.0035;0.0015;0.02864
adaptiv;10000;2.08;0.35;0.0116;0.0137;0.112526;0.0033;0.0018;0.029258
