adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;10000;2.08;0.35;0.0081;0.0059;0.065942;0.0043;0.0014;0.031995
adaptiv;10000;2.08;0.35;0.0122;0.022;0.103133;0.01;0.0199;0.088042
nicht-adaptiv;10000;2.08;0.35;0.0091;0.0155;0.076175;0.0041;0.0018;0.031909
adaptiv;10000;2.08;0.35;0.0117;0.0211;0.102921;0.0091;0.0185;0.088747
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0059;0.066298;0.0028;0.0012;0.025217
adaptiv;10000;2.09;0.35;0.0116;0.0299;0.097447;0.0075;0.0161;0.069827
nicht-adaptiv;10000;2.06;0.35;0.0088;0.0061;0.071699;0.0041;0.001;0.031898
adaptiv;10000;2.06;0.35;0.0117;0.0183;0.092415;0.0098;0.0202;0.085983
nicht-adaptiv;10000;2.09;0.35;0.0078;0.0057;0.064647;0.004;0.0012;0.033263
adaptiv;10000;2.09;0.35;0.011;0.0178;0.089893;0.0086;0.0188;0.079328
nicht-adaptiv;10000;2.08;0.35;0.0074;0.0059;0.062475;0.0035;0.0014;0.032578
adaptiv;10000;2.08;0.35;0.0109;0.0297;0.090078;0.0078;0.0165;0.068221
nicht-adaptiv;10000;2.07;0.35;0.0077;0.0061;0.06491;0.003;0.001;0.02723
adaptiv;10000;2.07;0.35;0.0098;0.0193;0.083079;0.0073;0.0177;0.06644
nicht-adaptiv;10000;2.09;0.35;0.0071;0.0056;0.060345;0.0023;0.0008;0.020146
adaptiv;10000;2.09;0.35;0.0111;0.0263;0.097341;0.0077;0.017;0.072638
nicht-adaptiv;10000;2.09;0.35;0.0081;0.01;0.070997;0.0031;0.0013;0.028517
adaptiv;10000;2.09;0.35;0.0115;0.0215;0.096669;0.0083;0.0186;0.077275
nicht-adaptiv;10000;2.08;0.35;0.0077;0.0065;0.066163;0.0035;0.0015;0.02864
adaptiv;10000;2.08;0.35;0.012;0.0258;0.097949;0.008;0.016;0.073324
