adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;1000;2.08;0.55;0.55;0.2401;0.4315;0.0075;0.072506
adaptiv;1000;2.08;0.55;400;0.2747;0.5881;0.0098;0.072548
