adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;1000;2.11;0.56;0.55;0.195;0.407;0.0081;0.034439
adaptiv;1000;2.11;0.56;400;0.1811;0.684;0.0092;0.034405
