adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;1000;2.07;0.55;0.55;0.1266;0.2755;0.0087;0.053883
adaptiv;1000;2.07;0.55;400;0.1273;0.3329;0.0077;0.053828
