adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;1000;2.12;0.56;0.55;0.2089;0.4207;0.0068;0.000714
adaptiv;1000;2.12;0.56;400;0.2197;0.5657;0.0065;0.000755
