adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;1000;2.12;0.56;0.55;0.2197;0.4443;0.0086;0.004068
adaptiv;1000;2.12;0.56;400;0.1696;0.6745;0.006;0.00405
