adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;1000;2.06;0.55;0.55;0.2098;0.5151;0.0063;0.087242
adaptiv;1000;2.06;0.55;400;0.212;0.6591;0.0071;0.087183
