adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;1000;2.15;0.57;0.55;0.1557;0.2697;0.0106;0.008674
adaptiv;1000;2.15;0.57;400;0.179;0.3686;0.0141;0.008635
