adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;1000;2.14;0.57;0.55;0.2568;0.4395;0.0083;0.071449
adaptiv;1000;2.14;0.57;400;0.2848;0.5156;0.0089;0.071412
