adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;100000;2.09;0.22;0.0064;0.0044;0.054237;0.0017;0.0004;0.015473
adaptiv;100000;2.09;0.22;0.0079;0.032;0.083316;0.0023;0.0008;0.018821
nicht-adaptiv;100000;2.09;0.22;0.0063;0.0044;0.054849;0.0014;0.0003;0.013914
adaptiv;100000;2.09;0.22;0.0077;0.0333;0.083506;0.0018;0.0008;0.01678
nicht-adaptiv;100000;2.09;0.22;0.0064;0.0076;0.054823;0.0013;0.0002;0.012308
adaptiv;100000;2.09;0.22;0.0078;0.03;0.081214;0.0016;0.0006;0.014671
nicht-adaptiv;100000;2.09;0.22;0.0066;0.0104;0.055065;0.0013;0.0002;0.011371
adaptiv;100000;2.09;0.22;0.0079;0.0289;0.081756;0.0018;0.0008;0.016018
nicht-adaptiv;100000;2.09;0.22;0.0063;0.0042;0.055025;0.0011;0.0002;0.009933
adaptiv;100000;2.09;0.22;0.0076;0.0307;0.079867;0.0016;0.0006;0.013403
nicht-adaptiv;100000;2.09;0.22;0.0062;0.0042;0.053816;0.0014;0.0002;0.01168
adaptiv;100000;2.09;0.22;0.0075;0.0314;0.08032;0.0016;0.0008;0.014038
nicht-adaptiv;100000;2.09;0.22;0.0061;0.0042;0.053898;0.0011;0.0002;0.010635
adaptiv;100000;2.09;0.22;0.0075;0.0356;0.080697;0.0014;0.0007;0.013024
nicht-adaptiv;100000;2.08;0.22;0.0063;0.0042;0.053706;0.0014;0.0003;0.012394
adaptiv;100000;2.08;0.22;0.0077;0.0311;0.082101;0.0018;0.0008;0.015862
nicht-adaptiv;100000;2.09;0.22;0.0065;0.0077;0.054504;0.0012;0.0002;0.010251
adaptiv;100000;2.09;0.22;0.0075;0.0262;0.076538;0.0016;0.0007;0.013905
nicht-adaptiv;100000;2.09;0.22;0.0065;0.0044;0.055198;0.0016;0.0004;0.015245
adaptiv;100000;2.09;0.22;0.0076;0.0283;0.079605;0.002;0.0007;0.017878
