adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;100000;2.09;0.22;0.0064;0.0044;0.054237;0.0017;0.0004;0.015473
adaptiv;100000;2.09;0.22;0.0071;-0.0107;0.056281;0.0045;0.0097;0.044923
nicht-adaptiv;100000;2.09;0.22;0.0063;0.0044;0.054849;0.0014;0.0003;0.013914
adaptiv;100000;2.09;0.22;0.0068;0.0047;0.05592;0.0042;0.0098;0.042579
nicht-adaptiv;100000;2.09;0.22;0.0064;0.0076;0.054823;0.0013;0.0002;0.012308
adaptiv;100000;2.09;0.22;0.006;-0.0058;0.051453;0.0043;0.0096;0.04251
nicht-adaptiv;100000;2.09;0.22;0.0066;0.0104;0.055065;0.0013;0.0002;0.011371
adaptiv;100000;2.09;0.22;0.0059;0.005;0.051311;0.0044;0.0109;0.04501
nicht-adaptiv;100000;2.09;0.22;0.0063;0.0042;0.055025;0.0011;0.0002;0.009933
adaptiv;100000;2.09;0.22;0.0075;0.0021;0.053606;0.0045;0.0107;0.04638
nicht-adaptiv;100000;2.09;0.22;0.0062;0.0042;0.053816;0.0014;0.0002;0.01168
adaptiv;100000;2.09;0.22;0.0064;0.0132;0.05493;0.0042;0.0104;0.041915
nicht-adaptiv;100000;2.09;0.22;0.0061;0.0042;0.053898;0.0011;0.0002;0.010635
adaptiv;100000;2.09;0.22;0.0056;0.0065;0.048173;0.0042;0.0102;0.043439
nicht-adaptiv;100000;2.08;0.22;0.0063;0.0042;0.053706;0.0014;0.0003;0.012394
adaptiv;100000;2.08;0.22;0.0065;0.0023;0.05468;0.0043;0.0107;0.043346
nicht-adaptiv;100000;2.09;0.22;0.0065;0.0077;0.054504;0.0012;0.0002;0.010251
adaptiv;100000;2.09;0.22;0.0061;0.0049;0.050708;0.0045;0.0106;0.045993
nicht-adaptiv;100000;2.09;0.22;0.0065;0.0044;0.055198;0.0016;0.0004;0.015245
adaptiv;100000;2.09;0.22;0.0068;-0.0006;0.057353;0.0045;0.0102;0.044018
