adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;100000;2.09;0.22;0.0064;0.0044;0.054237;0.0017;0.0004;0.015473
adaptiv;100000;2.09;0.22;0.0174;-0.0043;0.129938;0.0048;0.0066;0.040958
nicht-adaptiv;100000;2.09;0.22;0.0063;0.0044;0.054849;0.0014;0.0003;0.013914
adaptiv;100000;2.09;0.22;0.0132;0.0206;0.098856;0.0044;0.005;0.038012
nicht-adaptiv;100000;2.09;0.22;0.0064;0.0076;0.054823;0.0013;0.0002;0.012308
adaptiv;100000;2.09;0.22;0.0167;0.0047;0.126134;0.0041;0.0047;0.036599
nicht-adaptiv;100000;2.09;0.22;0.0066;0.0104;0.055065;0.0013;0.0002;0.011371
adaptiv;100000;2.09;0.22;0.0162;0.0111;0.117063;0.0042;0.0031;0.03606
nicht-adaptiv;100000;2.09;0.22;0.0063;0.0042;0.055025;0.0011;0.0002;0.009933
adaptiv;100000;2.09;0.22;0.0159;0.0298;0.115873;0.0037;0.0045;0.033257
nicht-adaptiv;100000;2.09;0.22;0.0062;0.0042;0.053816;0.0014;0.0002;0.01168
adaptiv;100000;2.09;0.22;0.0164;0.0158;0.12519;0.004;0.0036;0.036578
nicht-adaptiv;100000;2.09;0.22;0.0061;0.0042;0.053898;0.0011;0.0002;0.010635
adaptiv;100000;2.09;0.22;0.0182;0.0072;0.123989;0.0038;0.0036;0.036783
nicht-adaptiv;100000;2.08;0.22;0.0063;0.0042;0.053706;0.0014;0.0003;0.012394
adaptiv;100000;2.08;0.22;0.016;-0.0148;0.116867;0.0043;0.0035;0.037493
nicht-adaptiv;100000;2.09;0.22;0.0065;0.0077;0.054504;0.0012;0.0002;0.010251
adaptiv;100000;2.09;0.22;0.0173;0.0133;0.120593;0.0037;0.0057;0.035051
nicht-adaptiv;100000;2.09;0.22;0.0065;0.0044;0.055198;0.0016;0.0004;0.015245
adaptiv;100000;2.09;0.22;0.016;0.0022;0.11841;0.0038;0.004;0.033629
