adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;100000;2.09;0.22;0.0064;0.0044;0.054237;0.0017;0.0004;0.015473
adaptiv;100000;2.09;0.22;0.0171;0.0907;0.171557;0.0019;0.0004;0.016065
nicht-adaptiv;100000;2.09;0.22;0.0063;0.0044;0.054849;0.0014;0.0003;0.013914
adaptiv;100000;2.09;0.22;0.017;0.1017;0.175622;0.0015;0.0003;0.01402
nicht-adaptiv;100000;2.09;0.22;0.0064;0.0076;0.054823;0.0013;0.0002;0.012308
adaptiv;100000;2.09;0.22;0.0173;0.0899;0.173951;0.0012;0.0002;0.011568
nicht-adaptiv;100000;2.09;0.22;0.0066;0.0104;0.055065;0.0013;0.0002;0.011371
adaptiv;100000;2.09;0.22;0.0175;0.0926;0.17357;0.0014;0.0002;0.012327
nicht-adaptiv;100000;2.09;0.22;0.0063;0.0042;0.055025;0.0011;0.0002;0.009933
adaptiv;100000;2.09;0.22;0.0171;0.0864;0.171621;0.0012;0.0002;0.010365
nicht-adaptiv;100000;2.09;0.22;0.0062;0.0042;0.053816;0.0014;0.0002;0.01168
adaptiv;100000;2.09;0.22;0.0171;0.0905;0.174534;0.0013;0.0002;0.011282
nicht-adaptiv;100000;2.09;0.22;0.0061;0.0042;0.053898;0.0011;0.0002;0.010635
adaptiv;100000;2.09;0.22;0.017;0.105;0.177438;0.0011;0.0002;0.009942
nicht-adaptiv;100000;2.08;0.22;0.0063;0.0042;0.053706;0.0014;0.0003;0.012394
adaptiv;100000;2.08;0.22;0.017;0.0936;0.174135;0.0016;0.0003;0.013086
nicht-adaptiv;100000;2.09;0.22;0.0065;0.0077;0.054504;0.0012;0.0002;0.010251
adaptiv;100000;2.09;0.22;0.017;0.0742;0.168767;0.0013;0.0002;0.010599
nicht-adaptiv;100000;2.09;0.22;0.0065;0.0044;0.055198;0.0016;0.0004;0.015245
adaptiv;100000;2.09;0.22;0.0166;0.0791;0.168659;0.0017;0.0003;0.015304
