adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;1000;2.08;0.55;0.0178;0.0236;0.144437;0.0091;0.01;0.082588
adaptiv;1000;2.08;0.55;0.0268;0.0979;0.248321;0.0103;0.0097;0.089162
nicht-adaptiv;1000;2.15;0.57;0.0168;0.0226;0.133827;0.0097;0.0106;0.086504
adaptiv;1000;2.15;0.57;0.025;0.1216;0.239574;0.0092;0.0098;0.081918
nicht-adaptiv;1000;2.11;0.56;0.0167;0.0225;0.134136;0.0078;0.0081;0.070877
adaptiv;1000;2.11;0.56;0.0252;0.0985;0.230519;0.009;0.009;0.080499
nicht-adaptiv;1000;2.12;0.56;0.0184;0.0329;0.151475;0.0089;0.0081;0.079093
adaptiv;1000;2.12;0.56;0.027;0.082;0.233134;0.0109;0.0106;0.092377
nicht-adaptiv;1000;2.14;0.57;0.0183;0.0167;0.147004;0.0104;0.0082;0.088289
adaptiv;1000;2.14;0.57;0.0255;0.0928;0.228445;0.0099;0.0079;0.08286
nicht-adaptiv;1000;2.14;0.57;0.0219;0.0371;0.186963;0.012;0.014;0.100132
adaptiv;1000;2.14;0.57;0.0279;0.1178;0.26589;0.013;0.0157;0.109099
nicht-adaptiv;1000;2.08;0.55;0.0179;0.0256;0.1336;0.01;0.0075;0.080055
adaptiv;1000;2.08;0.55;0.0241;0.076;0.207337;0.0091;0.007;0.074618
nicht-adaptiv;1000;2.06;0.55;0.0214;0.0357;0.174522;0.0087;0.0063;0.064656
adaptiv;1000;2.06;0.55;0.0267;0.0777;0.22237;0.0094;0.0075;0.06307
nicht-adaptiv;1000;2.07;0.55;0.0169;0.0257;0.153619;0.0078;0.0087;0.07187
adaptiv;1000;2.07;0.55;0.0303;0.1771;0.280933;0.0085;0.0102;0.076925
nicht-adaptiv;1000;2.12;0.56;0.0168;0.0127;0.14369;0.0084;0.0066;0.068208
adaptiv;1000;2.12;0.56;0.0258;0.108;0.235421;0.0086;0.0063;0.070363
