adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;1000;2.08;0.55;0.0178;0.0236;0.144437;0.0091;0.01;0.082588
adaptiv;1000;2.08;0.55;0.0541;0.0553;0.304;0.0223;0.0357;0.159764
nicht-adaptiv;1000;2.15;0.57;0.0168;0.0226;0.133827;0.0097;0.0106;0.086504
adaptiv;1000;2.15;0.57;0.0345;0.1221;0.243117;0.0217;0.0323;0.153233
nicht-adaptiv;1000;2.11;0.56;0.0167;0.0225;0.134136;0.0078;0.0081;0.070877
adaptiv;1000;2.11;0.56;0.0324;0.0634;0.230546;0.0217;0.0323;0.138666
nicht-adaptiv;1000;2.12;0.56;0.0184;0.0329;0.151475;0.0089;0.0081;0.079093
adaptiv;1000;2.12;0.56;0.0418;0.0785;0.28113;0.0211;0.0394;0.167028
nicht-adaptiv;1000;2.14;0.57;0.0183;0.0167;0.147004;0.0104;0.0082;0.088289
adaptiv;1000;2.14;0.57;0.0353;0.0524;0.229984;0.0172;0.028;0.12621
nicht-adaptiv;1000;2.14;0.57;0.0219;0.0371;0.186963;0.012;0.014;0.100132
adaptiv;1000;2.14;0.57;0.0407;0.125;0.285934;0.0232;0.0452;0.185994
nicht-adaptiv;1000;2.08;0.55;0.0179;0.0256;0.1336;0.01;0.0075;0.080055
adaptiv;1000;2.08;0.55;0.037;0.0587;0.24065;0.0214;0.034;0.157426
nicht-adaptiv;1000;2.06;0.55;0.0214;0.0357;0.174522;0.0087;0.0063;0.064656
adaptiv;1000;2.06;0.55;0.0401;0.0765;0.262857;0.0241;0.0493;0.178494
nicht-adaptiv;1000;2.07;0.55;0.0169;0.0257;0.153619;0.0078;0.0087;0.07187
adaptiv;1000;2.07;0.55;0.0399;0.0974;0.261981;0.0187;0.0393;0.15948
nicht-adaptiv;1000;2.12;0.56;0.0168;0.0127;0.14369;0.0084;0.0066;0.068208
adaptiv;1000;2.12;0.56;0.0357;0.0864;0.254657;0.0185;0.0244;0.134071
