adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;1000;2.08;0.55;0.0178;0.0236;0.144437;0.0091;0.01;0.082588
adaptiv;1000;2.08;0.55;0.0216;0.0115;0.187852;0.0158;0.0296;0.13305
nicht-adaptiv;1000;2.15;0.57;0.0168;0.0226;0.133827;0.0097;0.0106;0.086504
adaptiv;1000;2.15;0.57;0.023;0.0238;0.194995;0.0137;0.0377;0.126174
nicht-adaptiv;1000;2.11;0.56;0.0167;0.0225;0.134136;0.0078;0.0081;0.070877
adaptiv;1000;2.11;0.56;0.0278;0.0392;0.220345;0.0187;0.0418;0.135777
nicht-adaptiv;1000;2.12;0.56;0.0184;0.0329;0.151475;0.0089;0.0081;0.079093
adaptiv;1000;2.12;0.56;0.028;0.0246;0.223851;0.02;0.0499;0.159846
nicht-adaptiv;1000;2.14;0.57;0.0183;0.0167;0.147004;0.0104;0.0082;0.088289
adaptiv;1000;2.14;0.57;0.0209;0.0219;0.178147;0.0119;0.0239;0.09598
nicht-adaptiv;1000;2.14;0.57;0.0219;0.0371;0.186963;0.012;0.014;0.100132
adaptiv;1000;2.14;0.57;0.0238;0.0329;0.209922;0.0213;0.0543;0.177145
nicht-adaptiv;1000;2.08;0.55;0.0179;0.0256;0.1336;0.01;0.0075;0.080055
adaptiv;1000;2.08;0.55;0.0244;0.017;0.194699;0.0116;0.0314;0.099278
nicht-adaptiv;1000;2.06;0.55;0.0214;0.0357;0.174522;0.0087;0.0063;0.064656
adaptiv;1000;2.06;0.55;0.0274;0.0327;0.200284;0.0166;0.0485;0.127892
nicht-adaptiv;1000;2.07;0.55;0.0169;0.0257;0.153619;0.0078;0.0087;0.07187
adaptiv;1000;2.07;0.55;0.0205;0.0594;0.189799;0.0167;0.0417;0.151107
nicht-adaptiv;1000;2.12;0.56;0.0168;0.0127;0.14369;0.0084;0.0066;0.068208
adaptiv;1000;2.12;0.56;0.0228;0.0187;0.181448;0.0161;0.0334;0.139562
