adaptiv?;n;sigma hat;h;Histogram RMSE;Histogram KL Divergenz;Diff between histogram integral and ground truth;Density RMSE;Density KL Divergenz;Diff between density integral and ground truth
nicht-adaptiv;1000;2.08;0.55;0.0178;0.0236;0.144437;0.0091;0.01;0.082588
adaptiv;1000;2.08;0.55;0.0237;0.0596;0.199629;0.0087;0.0082;0.078735
nicht-adaptiv;1000;2.15;0.57;0.0168;0.0226;0.133827;0.0097;0.0106;0.086504
adaptiv;1000;2.15;0.57;0.0215;0.063;0.189067;0.0104;0.0112;0.091837
nicht-adaptiv;1000;2.11;0.56;0.0167;0.0225;0.134136;0.0078;0.0081;0.070877
adaptiv;1000;2.11;0.56;0.0255;0.0475;0.204469;0.0072;0.0076;0.066648
nicht-adaptiv;1000;2.12;0.56;0.0184;0.0329;0.151475;0.0089;0.0081;0.079093
adaptiv;1000;2.12;0.56;0.0218;0.0425;0.181475;0.0081;0.0074;0.071838
nicht-adaptiv;1000;2.14;0.57;0.0183;0.0167;0.147004;0.0104;0.0082;0.088289
adaptiv;1000;2.14;0.57;0.0197;0.0384;0.17615;0.011;0.0094;0.093349
nicht-adaptiv;1000;2.14;0.57;0.0219;0.0371;0.186963;0.012;0.014;0.100132
adaptiv;1000;2.14;0.57;0.0232;0.0566;0.209341;0.0115;0.0134;0.095611
nicht-adaptiv;1000;2.08;0.55;0.0179;0.0256;0.1336;0.01;0.0075;0.080055
adaptiv;1000;2.08;0.55;0.0198;0.0346;0.161168;0.0108;0.0083;0.085696
nicht-adaptiv;1000;2.06;0.55;0.0214;0.0357;0.174522;0.0087;0.0063;0.064656
adaptiv;1000;2.06;0.55;0.025;0.0371;0.192243;0.0087;0.0059;0.069966
nicht-adaptiv;1000;2.07;0.55;0.0169;0.0257;0.153619;0.0078;0.0087;0.07187
adaptiv;1000;2.07;0.55;0.0209;0.0822;0.194453;0.0078;0.0081;0.070402
nicht-adaptiv;1000;2.12;0.56;0.0168;0.0127;0.14369;0.0084;0.0066;0.068208
adaptiv;1000;2.12;0.56;0.0204;0.062;0.17728;0.0087;0.0076;0.072475
