adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;10000;2.09;0.35;0.35;0.0376;0.117;0.0008;0.008587
adaptiv;10000;2.09;0.35;2000;0.0377;0.1818;0.0007;0.008604
