adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;10000;2.09;0.35;0.35;0.0645;0.124;0.0012;0.001293
adaptiv;10000;2.09;0.35;2000;0.065;0.1749;0.0012;0.001304
