adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;10000;2.09;0.35;0.35;0.0461;0.1263;0.0013;0.002606
adaptiv;10000;2.09;0.35;2000;0.0443;0.1872;0.0011;0.002609
