adaptiv?;n;sigma hat;h;actual h;Density RMSE;Histogram RMSE;Density KL Divergenz;Diff between density integral and CDF
nicht-adaptiv;10000;2.08;0.35;0.35;0.0689;0.153;0.0018;0.001626
adaptiv;10000;2.08;0.35;2000;0.0663;0.1967;0.0016;0.001615
